tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes,weightedAverage
tt10111920,movie,1979 Big Bang of the Present,2019,"Documentary,History",6.5,25,162.5
tt10112036,tvSeries,Joe Lycett's Got Your Back,2019,"Comedy,Documentary",7.8,85,663
tt10112054,tvSeries,Hard to Please OAPs,2019,Reality-TV,5.2,12,62.4
tt10112084,tvSeries,Celebrity Painting Challenge,2019,Reality-TV,8.7,9,78.3
tt10112154,movie,Bau Na Vichaar,2019,"Comedy,Drama",8.1,31,251.1
tt10112464,movie,Frank & Fearless,2018,Comedy,5.2,20,104
tt10112466,movie,Peppa Pig: Festival of Fun,2019,"Animation,Family",4.6,85,391
tt10112506,tvSeries,Random Shit,2019,Comedy,7,191,1337
tt10115054,tvSeries,Lost Treasures of Egypt,2019,Documentary,8.4,19,159.6
tt10115316,movie,Rat Park,2019,Documentary,8.4,19,159.6
tt10115436,movie,Korea: The Never-Ending War,2019,Documentary,7.9,85,671.5
tt10115562,movie,On a Magical Night,2019,Comedy,6.2,896,5555.2
tt10115638,movie,A mano disarmata,2019,"Crime,Drama",5.7,132,752.4
tt10115644,movie,Ragmork,2019,"Drama,Horror,Thriller",6.8,13,88.4
tt10116488,movie,Sag Du Es Mir,2019,"Comedy,Drama",7.7,6,46.2
tt10116944,tvSeries,Gemusetto Machu Picchu,2019,"Animation,Comedy,Fantasy",7.8,59,460.2
tt10117174,movie,For No Reasons: Meetings with Giorgos Maniatis,2019,Documentary,8.8,5,44
tt10117768,movie,My Little Sister,2020,Drama,5.9,111,654.9
tt10117896,tvSeries,Keyyo med Rheborg i Ryssland,2019,Reality-TV,7.4,27,199.8
tt10118064,movie,377 AbNormal,2019,Drama,6.7,57,381.9
tt10118590,tvSeries,The Insiders,2019,"Comedy,Drama",7.5,167,1252.5
tt10119178,tvSeries,Mags n Mel,2019,Comedy,8.4,15,126
tt10119542,tvSeries,Cruise Ship Killers,2020,Crime,6.7,12,80.4
tt10120472,movie,My Daughter's Psycho Friend,2020,Drama,5.3,69,365.7
tt10120734,tvSeries,Millennials,2018,Drama,4.7,87,408.9
tt10121022,movie,Freie Räume,2019,Documentary,9.7,7,67.9
tt10121134,tvSeries,Forest 404,2019,"Horror,Sci-Fi,Thriller",7.8,18,140.4
tt10121208,tvSeries,STARmeter Weekly,2019,Documentary,7.2,32,230.4
tt10121228,tvSeries,Broken Bread,2019,Documentary,9,22,198
tt10121372,movie,Roger Waters - Us + Them,2019,"Documentary,Music",7.9,631,4984.9
tt10121738,tvSeries,In Search of Monsters,2019,"Documentary,History,Mystery",7.6,62,471.2
tt10121762,movie,Uriyadi 2,2019,"Action,Thriller",7.2,602,4334.4
